,Mo Sold,Overall Qual,Kitchen Qual,Fireplaces,TotRms AbvGrd,2nd Flr SF,newer_build,Total Bsmt SF,Garage Cond,BsmtFin SF 2,Enclosed Porch,Garage Qual,off_site,Exter Qual,street,Gr Liv Area,Kitchen AbvGr,Low Qual Fin SF,Open Porch SF,Wood Deck SF,normal,Garage Cars,Lot Area,Misc Val,MS SubClass,1st Flr SF,Bedroom AbvGr,close_to_rail,Bsmt Cond,Id,Garage Yr Blt,Year Built,Year Remod/Add,3Ssn Porch,Bsmt Unf SF,Bsmt Qual,Garage Area,BsmtFin SF 1,Bsmt Exposure,Fireplace Qu,Lot Frontage,Overall Cond,Pool QC,Exter Cond,Heating QC,Mas Vnr Area,Screen Porch,total_bath,Pool Area,Yr Sold
37,1,6,2,1,7,0,0,1844.0,2.0,0.0,0,2.0,0,0,0,1844,1,0,122,0,2,2.0,11751,0,20,1844,3,0,1.0,21,1977.0,1977,1977,0,1139.0,2.0,546.0,705.0,-1.0,1.0,105.0,6,0,0,3,480.0,0,2.0,0,2010
38,9,7,2,1,6,0,0,1242.0,2.0,0.0,0,2.0,0,0,0,1242,1,0,0,0,2,2.0,9600,0,20,1242,3,0,1.0,1873,1973.0,1973,1973,0,326.0,1.0,528.0,916.0,-1.0,1.0,80.0,6,0,0,0,320.0,0,1.5,0,2007
39,7,5,2,0,5,0,1,990.0,2.0,0.0,0,2.0,0,0,0,990,1,0,0,256,2,1.0,8428,0,20,990,3,0,2.0,2125,1995.0,1994,1994,0,570.0,2.0,384.0,420.0,-1.0,1.4709800190294957,60.0,7,0,1,3,0.0,0,2.0,0,2007
40,6,5,2,0,6,0,0,1256.0,2.0,290.0,0,2.0,0,1,0,1256,1,0,68,736,2,1.0,9937,0,20,1256,3,0,1.0,1489,1965.0,1965,1965,0,136.0,1.0,276.0,830.0,-1.0,1.4709800190294957,75.0,6,0,0,2,0.0,0,2.5,0,2008
41,9,10,3,1,7,0,1,2076.0,2.0,0.0,0,2.0,0,2,0,2076,1,0,229,216,2,3.0,13891,0,20,2076,2,0,2.0,2383,2006.0,2006,2006,0,690.0,3.0,850.0,1386.0,2.0,2.0,107.0,5,0,0,3,99.69590931493346,0,3.5,0,2006
42,7,5,2,1,4,0,0,1097.0,2.0,0.0,0,2.0,0,0,0,1110,1,0,30,303,2,2.0,9101,0,85,1110,1,0,1.0,983,1978.0,1978,1978,0,0.0,2.0,602.0,1097.0,1.0,1.0,69.05520046484602,6,0,1,3,104.0,0,2.0,0,2009
43,11,5,2,0,7,745,0,1050.0,2.0,0.0,0,0.0,0,0,0,1795,1,0,0,0,2,1.0,12150,0,50,1050,4,0,1.0,1325,1954.0,1954,1954,0,1050.0,1.0,352.0,0.0,-1.0,1.4709800190294957,81.0,5,0,0,3,335.0,0,2.0,0,2008
44,2,5,2,0,5,0,0,1040.0,2.0,0.0,0,2.0,0,0,0,1040,1,0,0,0,2,1.0,11200,0,20,1040,3,0,1.0,1378,1965.0,1965,1965,0,134.0,1.0,384.0,906.0,-1.0,1.4709800190294957,70.0,5,0,0,3,0.0,0,2.0,0,2008
45,6,8,2,2,9,890,0,608.0,2.0,0.0,207,0.0,0,0,0,1873,1,0,0,0,2,2.0,9670,0,70,983,4,0,0.0,1537,1935.0,1935,1950,0,398.0,1.0,786.0,210.0,-1.0,2.0,100.0,6,0,0,1,40.0,0,1.5,0,2008
46,7,5,2,0,6,620,0,984.0,2.0,420.0,0,2.0,0,0,0,1604,1,0,68,0,2,2.0,10998,0,50,984,3,0,1.0,905,1977.0,1941,1960,0,156.0,1.0,660.0,408.0,-1.0,1.4709800190294957,60.0,5,0,0,3,0.0,0,2.0,0,2009
47,2,7,2,1,6,651,0,776.0,2.0,0.0,112,2.0,0,0,0,1502,1,0,0,0,2,1.0,7200,0,70,851,3,0,1.0,1532,1931.0,1931,2000,0,776.0,2.0,270.0,0.0,-1.0,2.0,60.0,6,0,-1,1,0.0,0,1.5,0,2008
48,2,5,2,0,6,0,0,1056.0,2.0,290.0,164,2.0,0,0,0,1063,1,0,0,0,2,1.0,9920,0,20,1063,3,0,1.0,132,1954.0,1954,1954,0,412.0,1.0,280.0,354.0,-1.0,1.4709800190294957,80.0,5,0,0,1,110.0,0,2.0,0,2010
49,10,7,2,0,6,862,1,764.0,2.0,0.0,0,2.0,0,1,0,1626,1,0,27,0,2,2.0,2448,0,160,764,2,0,1.0,1078,2003.0,2003,2004,0,764.0,2.0,474.0,0.0,-1.0,1.4709800190294957,36.0,5,0,0,3,106.0,0,2.5,0,2008
50,6,6,2,0,4,756,1,756.0,2.0,0.0,0,2.0,0,1,0,1524,1,0,32,0,2,2.0,2998,0,160,768,2,0,1.0,2511,2000.0,2000,2000,0,403.0,2.0,440.0,353.0,-1.0,1.4709800190294957,69.05520046484602,5,0,0,3,513.0,0,2.5,0,2006
51,12,4,2,2,7,653,0,1122.0,2.0,0.0,0,2.0,0,0,0,1981,1,0,44,431,2,2.0,7804,0,50,1328,4,0,1.0,912,1981.0,1928,1950,0,500.0,1.0,576.0,622.0,-1.0,1.0,65.0,3,0,0,1,0.0,0,3.0,0,2009
52,7,7,2,2,12,1392,0,1392.0,2.0,469.0,0,2.0,0,0,0,2784,1,0,112,0,1,2.0,16692,2000,60,1392,5,1,1.0,2351,1978.0,1978,1978,0,133.0,2.0,564.0,790.0,-1.0,1.0,80.0,5,1,0,1,184.0,440,4.5,519,2006
53,3,4,2,0,5,546,0,546.0,1.9566339700567887,0.0,0,1.9385647909137842,0,0,0,1092,1,0,26,200,2,0.0,1476,0,160,546,3,0,1.0,330,1978.7077955601446,1970,1970,0,370.0,1.0,0.0,176.0,-1.0,1.4709800190294957,21.0,7,0,0,3,0.0,0,1.5,0,2010
54,6,6,2,1,5,0,0,216.0,2.0,0.0,0,2.0,0,0,0,1575,1,0,0,0,2,2.0,10170,0,20,1575,2,0,1.0,2586,1951.0,1951,1951,0,216.0,1.0,400.0,0.0,-1.0,2.0,75.0,6,0,0,1,522.0,0,1.5,0,2006
55,3,6,2,0,7,689,0,663.0,2.0,0.0,0,2.0,0,0,0,1352,1,0,36,379,2,1.0,9364,0,60,663,4,0,1.0,224,1969.0,1969,1969,0,292.0,1.0,299.0,371.0,-1.0,1.4709800190294957,80.0,7,0,0,1,143.0,0,1.5,0,2010
56,2,7,2,0,4,600,1,600.0,2.0,42.0,0,2.0,0,1,0,1200,1,0,172,0,2,2.0,2544,0,160,600,2,0,1.0,98,2004.0,2004,2005,0,190.0,2.0,480.0,368.0,-1.0,1.4709800190294957,24.0,5,0,0,3,0.0,0,3.5,0,2010
57,3,5,2,0,5,0,0,936.0,2.0,0.0,160,2.0,0,0,0,936,1,0,0,0,2,1.0,9888,0,20,936,2,0,1.0,2565,1954.0,1954,1975,0,450.0,1.0,240.0,486.0,-1.0,1.4709800190294957,82.0,6,0,1,1,0.0,0,1.0,0,2006
58,6,6,2,0,6,0,0,1040.0,2.0,955.0,0,2.0,0,0,0,1040,1,0,0,0,2,1.0,7942,0,20,1040,3,0,1.0,1934,1953.0,1953,1953,0,0.0,1.0,293.0,85.0,-1.0,1.4709800190294957,68.0,7,0,0,1,0.0,0,1.5,0,2007
59,11,6,2,1,7,720,1,916.0,2.0,0.0,0,2.0,0,0,0,1636,1,0,84,168,2,2.0,15038,0,60,916,3,0,1.0,997,1996.0,1996,1996,0,778.0,2.0,386.0,138.0,-1.0,1.0,69.05520046484602,5,0,0,2,0.0,0,2.5,0,2008
60,4,8,2,1,9,1106,1,1152.0,2.0,0.0,0,2.0,0,1,0,2270,1,0,57,132,2,3.0,11764,0,60,1164,4,0,1.0,64,1999.0,1999,2007,0,628.0,2.0,671.0,524.0,-1.0,2.0,92.0,7,0,0,3,348.0,0,2.5,0,2010
61,8,8,3,1,11,1426,1,1184.0,2.0,0.0,0,2.0,0,1,0,2610,1,0,364,208,2,2.0,9000,0,60,1184,4,0,1.0,1799,2007.0,2007,2007,0,1120.0,2.0,550.0,64.0,1.0,2.0,75.0,5,0,0,3,0.0,0,2.5,0,2007
62,4,7,2,2,4,0,0,1420.0,2.0,0.0,0,2.0,0,1,0,1483,1,0,0,496,2,2.0,20062,0,20,1483,1,0,1.0,230,1977.0,1977,2001,0,328.0,2.0,690.0,1092.0,2.0,1.0,69.05520046484602,7,0,1,2,0.0,0,2.5,0,2010
63,6,5,3,1,6,780,0,936.0,0.0,0.0,236,0.0,0,-1,1,1740,1,0,0,0,1,1.0,7308,0,50,960,2,0,1.0,1295,1920.0,1920,1950,0,576.0,1.0,225.0,360.0,-1.0,2.0,81.0,5,0,-1,2,0.0,0,1.0,0,2008
64,7,5,2,0,6,0,0,1382.0,2.0,483.0,0,2.0,0,0,0,1382,1,0,0,280,2,1.0,8750,0,20,1382,3,0,1.0,638,1955.0,1955,1955,0,727.0,1.0,350.0,172.0,-1.0,1.4709800190294957,70.0,5,0,0,2,0.0,0,1.5,0,2009
65,12,5,2,0,6,0,1,1120.0,1.9566339700567887,0.0,0,1.9385647909137842,0,0,1,1120,1,0,30,0,1,0.0,8402,0,20,1120,3,0,1.0,2278,1978.7077955601446,2007,2007,0,914.0,2.0,0.0,206.0,-1.0,1.4709800190294957,70.0,5,0,0,3,0.0,0,1.0,0,2007
66,6,7,2,1,5,531,0,531.0,2.0,0.0,0,2.0,0,0,0,1098,1,0,0,0,2,1.0,4000,0,70,567,2,0,1.0,2202,1930.0,1930,1995,0,285.0,2.0,216.0,246.0,-1.0,2.0,63.0,8,0,0,1,0.0,0,2.0,0,2007
67,4,7,2,0,7,732,1,976.0,2.0,0.0,0,2.0,0,1,0,1708,1,0,40,0,2,2.0,3363,0,160,976,3,0,1.0,2833,2004.0,2004,2004,0,976.0,2.0,380.0,0.0,-1.0,1.4709800190294957,32.0,5,0,0,3,117.0,0,2.0,0,2006
68,6,9,3,1,7,0,1,1802.0,2.0,0.0,0,2.0,0,2,0,1802,1,0,105,158,2,3.0,13615,0,20,1802,3,0,1.0,1707,2006.0,2006,2006,0,1802.0,3.0,843.0,0.0,2.0,2.0,94.0,5,0,0,3,510.0,0,2.5,0,2007
69,4,7,2,1,6,0,1,1362.0,2.0,0.0,0,2.0,0,1,0,1506,1,0,20,142,2,2.0,3013,0,120,1506,2,0,1.0,2428,2005.0,2005,2005,0,1346.0,2.0,440.0,16.0,2.0,2.0,43.0,5,0,0,3,145.0,0,2.0,0,2006
70,1,7,2,2,5,0,1,1508.0,2.0,0.0,0,2.0,0,1,0,1508,1,0,0,0,2,2.0,17485,0,20,1508,1,0,1.0,242,2009.0,2009,2010,0,162.0,2.0,572.0,1346.0,2.0,1.0,44.0,5,0,0,3,96.0,0,2.0,0,2010
71,9,7,2,0,7,0,1,1840.0,2.0,0.0,192,2.0,0,1,0,2032,1,0,46,0,2,3.0,23730,0,20,2032,3,0,1.0,1564,1996.0,1996,1997,0,1140.0,3.0,786.0,700.0,0.0,1.4709800190294957,69.05520046484602,5,0,0,3,668.0,0,4.0,0,2008
72,7,6,2,1,6,0,0,655.0,2.0,0.0,192,2.0,0,0,0,1194,1,0,0,0,2,2.0,8910,0,20,1194,3,0,1.0,2613,1954.0,1959,1959,0,0.0,1.0,539.0,655.0,0.0,0.0,79.0,6,0,0,3,0.0,0,1.5,0,2006
73,4,7,2,0,7,739,1,970.0,2.0,0.0,0,2.0,0,1,0,1709,1,0,40,0,2,2.0,2522,0,160,970,3,0,1.0,2832,2004.0,2004,2004,0,970.0,2.0,380.0,0.0,-1.0,1.4709800190294957,24.0,5,0,0,3,50.0,0,2.0,0,2006
74,4,7,2,0,7,0,1,1616.0,2.0,0.0,0,2.0,0,1,0,1616,1,0,59,208,2,3.0,8688,0,20,1616,3,0,1.0,2459,2005.0,2005,2005,0,1616.0,2.0,834.0,0.0,1.0,1.4709800190294957,73.0,5,0,0,3,228.0,0,2.0,0,2006
75,7,6,2,0,4,0,0,768.0,2.0,0.0,84,2.0,0,1,0,768,1,0,0,0,1,2.0,6291,0,30,768,1,1,1.0,1360,1930.0,1930,1950,0,768.0,1.0,440.0,0.0,-1.0,1.4709800190294957,69.05520046484602,6,0,1,1,0.0,0,1.0,0,2008
76,4,5,0,1,5,0,0,872.0,0.0,0.0,116,0.0,0,0,0,872,1,0,0,0,2,1.0,17529,0,30,872,2,0,1.0,2723,1924.0,1924,1950,0,872.0,1.0,322.0,0.0,-1.0,2.0,69.05520046484602,5,0,0,0,65.0,0,1.0,0,2006
77,5,4,0,0,4,0,0,520.0,2.0,0.0,87,0.0,0,0,1,520,1,0,0,49,0,1.0,6324,0,30,520,1,1,1.0,1350,1920.0,1927,1950,0,520.0,1.0,240.0,0.0,-1.0,1.4709800190294957,60.0,6,0,0,0,0.0,0,1.0,0,2008
78,1,5,2,0,12,1169,0,1105.0,2.0,0.0,0,2.0,0,0,1,2274,2,0,0,0,1,2.0,11600,0,90,1105,5,0,1.0,136,1960.0,1960,1960,0,662.0,1.0,480.0,443.0,-1.0,1.4709800190294957,80.0,5,0,0,1,361.0,0,2.0,0,2010
79,9,5,2,0,6,665,0,936.0,1.9566339700567887,0.0,0,1.9385647909137842,0,1,1,1601,1,0,0,0,1,0.0,7288,0,50,936,3,0,-1.0,2235,1978.7077955601446,1925,2003,176,936.0,1.0,0.0,0.0,-1.0,1.4709800190294957,50.0,7,0,1,3,0.0,0,2.0,0,2007
80,6,5,2,0,6,616,0,616.0,0.0,0.0,143,0.0,0,0,0,1232,1,0,0,280,2,2.0,4571,0,70,616,3,0,1.0,1993,1920.0,1910,1950,0,448.0,1.0,480.0,168.0,-1.0,1.4709800190294957,35.0,7,0,0,3,0.0,0,1.0,0,2007
81,7,9,3,1,9,0,1,2216.0,2.0,0.0,0,2.0,0,2,0,2234,1,0,60,0,2,3.0,17423,0,20,2234,1,0,1.0,367,2009.0,2008,2009,0,312.0,3.0,1166.0,1904.0,-1.0,2.0,63.0,5,0,0,3,748.0,0,3.0,0,2009
82,6,5,2,1,7,540,0,876.0,2.0,0.0,194,2.0,0,0,1,1416,1,0,0,418,1,3.0,12665,0,50,876,4,0,1.0,1309,1949.0,1915,1950,0,876.0,1.0,720.0,0.0,0.0,2.0,100.0,8,0,0,2,0.0,0,1.5,0,2008
83,7,4,2,0,5,0,0,864.0,2.0,0.0,0,2.0,0,0,0,864,1,0,0,200,2,2.0,9000,0,20,864,3,0,1.0,402,1986.0,1971,2006,0,624.0,1.0,576.0,240.0,-1.0,1.4709800190294957,60.0,7,0,1,2,0.0,0,1.0,0,2009
84,4,6,2,0,4,0,1,1189.0,2.0,0.0,0,2.0,0,0,0,1189,1,0,122,0,2,2.0,4500,0,120,1189,2,0,1.0,1592,1997.0,1997,1997,0,325.0,3.0,392.0,864.0,-1.0,1.4709800190294957,32.0,5,0,0,3,197.0,0,3.0,0,2008
85,6,9,2,1,6,0,1,1666.0,2.0,0.0,0,2.0,0,2,0,1666,1,0,75,228,2,2.0,6373,0,120,1666,2,0,2.0,2409,2006.0,2006,2006,0,1251.0,3.0,575.0,415.0,-1.0,2.0,48.0,5,0,0,3,572.0,0,3.0,0,2006
86,8,7,2,0,5,0,1,1176.0,2.0,0.0,0,2.0,0,1,0,1200,1,0,41,0,2,2.0,10083,0,20,1200,2,0,1.0,539,2003.0,2003,2003,0,343.0,2.0,555.0,833.0,-1.0,1.4709800190294957,67.0,5,0,0,3,99.69590931493346,0,3.0,0,2009
87,6,5,2,0,4,0,0,928.0,2.0,0.0,156,2.0,0,0,0,928,1,0,0,261,2,1.0,13300,0,20,928,2,0,1.0,1940,1956.0,1956,2000,0,551.0,2.0,252.0,377.0,-1.0,1.4709800190294957,70.0,7,0,0,1,0.0,0,1.0,0,2007
88,8,5,2,1,6,0,0,1288.0,2.0,147.0,0,2.0,0,0,1,1336,1,0,11,312,1,2.0,9600,650,20,1336,3,0,1.0,588,1969.0,1969,1969,0,588.0,2.0,502.0,553.0,0.0,0.0,80.0,5,0,0,1,128.0,0,2.5,0,2009
89,4,7,2,0,4,600,1,600.0,2.0,0.0,0,2.0,0,1,0,1200,1,0,172,0,2,2.0,3215,0,160,600,2,0,1.0,96,2004.0,2004,2004,0,320.0,2.0,480.0,280.0,1.0,1.4709800190294957,30.0,5,0,0,3,120.0,0,2.5,0,2010
