,Mo Sold,Overall Qual,Kitchen Qual,Fireplaces,TotRms AbvGrd,2nd Flr SF,newer_build,Total Bsmt SF,Garage Cond,BsmtFin SF 2,Enclosed Porch,Garage Qual,off_site,Exter Qual,street,Gr Liv Area,Kitchen AbvGr,Low Qual Fin SF,Open Porch SF,Wood Deck SF,normal,Garage Cars,Lot Area,Misc Val,MS SubClass,1st Flr SF,Bedroom AbvGr,close_to_rail,Bsmt Cond,Id,Garage Yr Blt,Year Built,Year Remod/Add,3Ssn Porch,Bsmt Unf SF,Bsmt Qual,Garage Area,BsmtFin SF 1,Bsmt Exposure,Fireplace Qu,Lot Frontage,Overall Cond,Pool QC,Exter Cond,Heating QC,Mas Vnr Area,Screen Porch,total_bath,Pool Area,Yr Sold,Gr Liv Area^2,Lot Area^2,Overall Qual^2,Year Built^2,Year Remod/Add^2,BsmtFin SF 1^2,Lot Frontage^2,interact 1
27,7,5,2,1,7,673,0,942.0,2.0,0.0,0,2.0,0,0,0,1938,1,0,40,0,2,1.0,11700,0,50,1265,4,0,1.0,1534,1937.0,1937,1995,0,336.0,1.0,240.0,606.0,-1.0,2.0,69.05520046484602,6,0,0,3,0.0,0,2.0,0,2008,3755844,136890000,25,3751969,3980025,367236.0,4768.620711240071,0
28,6,5,2,0,9,957,0,957.0,1.9566339700567887,0.0,133,1.9385647909137842,0,0,1,1991,2,0,0,0,1,0.0,8250,0,190,1034,4,0,1.0,2243,1978.7077955601446,1895,2006,0,957.0,1.0,0.0,0.0,-1.0,1.4709800190294957,75.0,6,0,1,0,0.0,0,2.0,0,2007,3964081,68062500,25,3591025,4024036,0.0,5625.0,0
29,7,5,2,1,6,252,0,672.0,2.0,0.0,0,2.0,0,0,1,924,1,0,0,0,1,2.0,8064,2000,50,672,3,0,1.0,1957,2003.0,1949,2006,0,672.0,1.0,576.0,0.0,0.0,-1.0,60.0,7,0,1,3,0.0,0,1.0,0,2007,853776,65028096,25,3798601,4024036,0.0,3600.0,0
30,7,8,2,1,9,0,1,2524.0,2.0,0.0,0,2.0,1,1,0,2524,1,0,120,474,1,2.0,9600,0,20,2524,4,0,1.0,380,1981.0,1981,1981,0,1420.0,2.0,542.0,1104.0,-1.0,2.0,80.0,5,0,0,1,0.0,0,3.5,0,2009,6370576,92160000,64,3924361,3924361,1218816.0,6400.0,9600
31,6,8,2,2,7,725,0,792.0,2.0,0.0,0,2.0,0,0,0,1517,1,0,0,0,2,2.0,11435,0,70,792,3,0,1.0,2860,1931.0,1929,1950,0,792.0,2.0,400.0,0.0,-1.0,2.0,69.05520046484602,7,0,0,0,0.0,0,1.0,0,2006,2301289,130759225,64,3721041,3802500,0.0,4768.620711240071,0
32,4,8,3,1,6,0,1,1494.0,2.0,1057.0,0,2.0,0,1,0,1494,1,0,30,0,2,2.0,9549,0,120,1494,2,0,2.0,2517,1995.0,1995,1996,0,0.0,2.0,481.0,437.0,1.0,2.0,30.0,5,0,1,3,0.0,216,2.5,0,2006,2232036,91183401,64,3980025,3984016,190969.0,900.0,9549
33,4,6,2,0,5,0,0,948.0,2.0,0.0,0,2.0,0,0,0,948,1,0,48,0,2,2.0,10950,0,20,948,2,0,1.0,1933,1952.0,1952,1952,0,507.0,1.0,410.0,441.0,-1.0,1.4709800190294957,60.0,6,0,0,1,0.0,0,1.0,0,2007,898704,119902500,36,3810304,3810304,194481.0,3600.0,0
34,9,8,2,1,7,0,1,1705.0,2.0,0.0,0,2.0,0,1,0,1718,1,0,44,208,2,3.0,10637,0,20,1718,3,0,1.0,820,2007.0,2007,2008,0,417.0,3.0,826.0,1288.0,2.0,2.0,79.0,5,0,0,3,336.0,0,3.0,0,2009,2951524,113145769,64,4028049,4032064,1658944.0,6241.0,10637
35,4,6,2,1,5,0,0,160.0,2.0,0.0,64,2.0,0,0,0,1142,1,0,28,0,2,1.0,9000,0,20,1142,2,0,1.0,675,1958.0,1958,1958,0,160.0,2.0,384.0,0.0,2.0,2.0,80.0,6,0,0,0,82.0,0,1.0,0,2009,1304164,81000000,36,3833764,3833764,0.0,6400.0,0
36,7,5,2,1,6,550,0,757.0,2.0,173.0,0,2.0,0,0,0,1475,1,0,26,104,2,1.0,2665,0,160,925,4,0,1.0,2910,1977.0,1977,1977,0,36.0,1.0,336.0,548.0,-1.0,1.0,41.0,6,0,0,3,0.0,0,2.0,0,2006,2175625,7102225,25,3908529,3908529,300304.0,1681.0,0
37,1,6,2,1,7,0,0,1844.0,2.0,0.0,0,2.0,0,0,0,1844,1,0,122,0,2,2.0,11751,0,20,1844,3,0,1.0,21,1977.0,1977,1977,0,1139.0,2.0,546.0,705.0,-1.0,1.0,105.0,6,0,0,3,480.0,0,2.0,0,2010,3400336,138086001,36,3908529,3908529,497025.0,11025.0,0
38,9,7,2,1,6,0,0,1242.0,2.0,0.0,0,2.0,0,0,0,1242,1,0,0,0,2,2.0,9600,0,20,1242,3,0,1.0,1873,1973.0,1973,1973,0,326.0,1.0,528.0,916.0,-1.0,1.0,80.0,6,0,0,0,320.0,0,1.5,0,2007,1542564,92160000,49,3892729,3892729,839056.0,6400.0,0
39,7,5,2,0,5,0,1,990.0,2.0,0.0,0,2.0,0,0,0,990,1,0,0,256,2,1.0,8428,0,20,990,3,0,2.0,2125,1995.0,1994,1994,0,570.0,2.0,384.0,420.0,-1.0,1.4709800190294957,60.0,7,0,1,3,0.0,0,2.0,0,2007,980100,71031184,25,3976036,3976036,176400.0,3600.0,8428
40,6,5,2,0,6,0,0,1256.0,2.0,290.0,0,2.0,0,1,0,1256,1,0,68,736,2,1.0,9937,0,20,1256,3,0,1.0,1489,1965.0,1965,1965,0,136.0,1.0,276.0,830.0,-1.0,1.4709800190294957,75.0,6,0,0,2,0.0,0,2.5,0,2008,1577536,98743969,25,3861225,3861225,688900.0,5625.0,0
41,9,10,3,1,7,0,1,2076.0,2.0,0.0,0,2.0,0,2,0,2076,1,0,229,216,2,3.0,13891,0,20,2076,2,0,2.0,2383,2006.0,2006,2006,0,690.0,3.0,850.0,1386.0,2.0,2.0,107.0,5,0,0,3,99.69590931493346,0,3.5,0,2006,4309776,192959881,100,4024036,4024036,1920996.0,11449.0,13891
42,7,5,2,1,4,0,0,1097.0,2.0,0.0,0,2.0,0,0,0,1110,1,0,30,303,2,2.0,9101,0,85,1110,1,0,1.0,983,1978.0,1978,1978,0,0.0,2.0,602.0,1097.0,1.0,1.0,69.05520046484602,6,0,1,3,104.0,0,2.0,0,2009,1232100,82828201,25,3912484,3912484,1203409.0,4768.620711240071,0
43,11,5,2,0,7,745,0,1050.0,2.0,0.0,0,0.0,0,0,0,1795,1,0,0,0,2,1.0,12150,0,50,1050,4,0,1.0,1325,1954.0,1954,1954,0,1050.0,1.0,352.0,0.0,-1.0,1.4709800190294957,81.0,5,0,0,3,335.0,0,2.0,0,2008,3222025,147622500,25,3818116,3818116,0.0,6561.0,0
44,2,5,2,0,5,0,0,1040.0,2.0,0.0,0,2.0,0,0,0,1040,1,0,0,0,2,1.0,11200,0,20,1040,3,0,1.0,1378,1965.0,1965,1965,0,134.0,1.0,384.0,906.0,-1.0,1.4709800190294957,70.0,5,0,0,3,0.0,0,2.0,0,2008,1081600,125440000,25,3861225,3861225,820836.0,4900.0,0
45,6,8,2,2,9,890,0,608.0,2.0,0.0,207,0.0,0,0,0,1873,1,0,0,0,2,2.0,9670,0,70,983,4,0,0.0,1537,1935.0,1935,1950,0,398.0,1.0,786.0,210.0,-1.0,2.0,100.0,6,0,0,1,40.0,0,1.5,0,2008,3508129,93508900,64,3744225,3802500,44100.0,10000.0,0
46,7,5,2,0,6,620,0,984.0,2.0,420.0,0,2.0,0,0,0,1604,1,0,68,0,2,2.0,10998,0,50,984,3,0,1.0,905,1977.0,1941,1960,0,156.0,1.0,660.0,408.0,-1.0,1.4709800190294957,60.0,5,0,0,3,0.0,0,2.0,0,2009,2572816,120956004,25,3767481,3841600,166464.0,3600.0,0
47,2,7,2,1,6,651,0,776.0,2.0,0.0,112,2.0,0,0,0,1502,1,0,0,0,2,1.0,7200,0,70,851,3,0,1.0,1532,1931.0,1931,2000,0,776.0,2.0,270.0,0.0,-1.0,2.0,60.0,6,0,-1,1,0.0,0,1.5,0,2008,2256004,51840000,49,3728761,4000000,0.0,3600.0,0
48,2,5,2,0,6,0,0,1056.0,2.0,290.0,164,2.0,0,0,0,1063,1,0,0,0,2,1.0,9920,0,20,1063,3,0,1.0,132,1954.0,1954,1954,0,412.0,1.0,280.0,354.0,-1.0,1.4709800190294957,80.0,5,0,0,1,110.0,0,2.0,0,2010,1129969,98406400,25,3818116,3818116,125316.0,6400.0,0
49,10,7,2,0,6,862,1,764.0,2.0,0.0,0,2.0,0,1,0,1626,1,0,27,0,2,2.0,2448,0,160,764,2,0,1.0,1078,2003.0,2003,2004,0,764.0,2.0,474.0,0.0,-1.0,1.4709800190294957,36.0,5,0,0,3,106.0,0,2.5,0,2008,2643876,5992704,49,4012009,4016016,0.0,1296.0,2448
50,6,6,2,0,4,756,1,756.0,2.0,0.0,0,2.0,0,1,0,1524,1,0,32,0,2,2.0,2998,0,160,768,2,0,1.0,2511,2000.0,2000,2000,0,403.0,2.0,440.0,353.0,-1.0,1.4709800190294957,69.05520046484602,5,0,0,3,513.0,0,2.5,0,2006,2322576,8988004,36,4000000,4000000,124609.0,4768.620711240071,2998
51,12,4,2,2,7,653,0,1122.0,2.0,0.0,0,2.0,0,0,0,1981,1,0,44,431,2,2.0,7804,0,50,1328,4,0,1.0,912,1981.0,1928,1950,0,500.0,1.0,576.0,622.0,-1.0,1.0,65.0,3,0,0,1,0.0,0,3.0,0,2009,3924361,60902416,16,3717184,3802500,386884.0,4225.0,0
52,7,7,2,2,12,1392,0,1392.0,2.0,469.0,0,2.0,0,0,0,2784,1,0,112,0,1,2.0,16692,2000,60,1392,5,1,1.0,2351,1978.0,1978,1978,0,133.0,2.0,564.0,790.0,-1.0,1.0,80.0,5,1,0,1,184.0,440,4.5,519,2006,7750656,278622864,49,3912484,3912484,624100.0,6400.0,0
53,3,4,2,0,5,546,0,546.0,1.9566339700567887,0.0,0,1.9385647909137842,0,0,0,1092,1,0,26,200,2,0.0,1476,0,160,546,3,0,1.0,330,1978.7077955601446,1970,1970,0,370.0,1.0,0.0,176.0,-1.0,1.4709800190294957,21.0,7,0,0,3,0.0,0,1.5,0,2010,1192464,2178576,16,3880900,3880900,30976.0,441.0,0
54,6,6,2,1,5,0,0,216.0,2.0,0.0,0,2.0,0,0,0,1575,1,0,0,0,2,2.0,10170,0,20,1575,2,0,1.0,2586,1951.0,1951,1951,0,216.0,1.0,400.0,0.0,-1.0,2.0,75.0,6,0,0,1,522.0,0,1.5,0,2006,2480625,103428900,36,3806401,3806401,0.0,5625.0,0
55,3,6,2,0,7,689,0,663.0,2.0,0.0,0,2.0,0,0,0,1352,1,0,36,379,2,1.0,9364,0,60,663,4,0,1.0,224,1969.0,1969,1969,0,292.0,1.0,299.0,371.0,-1.0,1.4709800190294957,80.0,7,0,0,1,143.0,0,1.5,0,2010,1827904,87684496,36,3876961,3876961,137641.0,6400.0,0
56,2,7,2,0,4,600,1,600.0,2.0,42.0,0,2.0,0,1,0,1200,1,0,172,0,2,2.0,2544,0,160,600,2,0,1.0,98,2004.0,2004,2005,0,190.0,2.0,480.0,368.0,-1.0,1.4709800190294957,24.0,5,0,0,3,0.0,0,3.5,0,2010,1440000,6471936,49,4016016,4020025,135424.0,576.0,2544
57,3,5,2,0,5,0,0,936.0,2.0,0.0,160,2.0,0,0,0,936,1,0,0,0,2,1.0,9888,0,20,936,2,0,1.0,2565,1954.0,1954,1975,0,450.0,1.0,240.0,486.0,-1.0,1.4709800190294957,82.0,6,0,1,1,0.0,0,1.0,0,2006,876096,97772544,25,3818116,3900625,236196.0,6724.0,0
58,6,6,2,0,6,0,0,1040.0,2.0,955.0,0,2.0,0,0,0,1040,1,0,0,0,2,1.0,7942,0,20,1040,3,0,1.0,1934,1953.0,1953,1953,0,0.0,1.0,293.0,85.0,-1.0,1.4709800190294957,68.0,7,0,0,1,0.0,0,1.5,0,2007,1081600,63075364,36,3814209,3814209,7225.0,4624.0,0
59,11,6,2,1,7,720,1,916.0,2.0,0.0,0,2.0,0,0,0,1636,1,0,84,168,2,2.0,15038,0,60,916,3,0,1.0,997,1996.0,1996,1996,0,778.0,2.0,386.0,138.0,-1.0,1.0,69.05520046484602,5,0,0,2,0.0,0,2.5,0,2008,2676496,226141444,36,3984016,3984016,19044.0,4768.620711240071,15038
60,4,8,2,1,9,1106,1,1152.0,2.0,0.0,0,2.0,0,1,0,2270,1,0,57,132,2,3.0,11764,0,60,1164,4,0,1.0,64,1999.0,1999,2007,0,628.0,2.0,671.0,524.0,-1.0,2.0,92.0,7,0,0,3,348.0,0,2.5,0,2010,5152900,138391696,64,3996001,4028049,274576.0,8464.0,11764
61,8,8,3,1,11,1426,1,1184.0,2.0,0.0,0,2.0,0,1,0,2610,1,0,364,208,2,2.0,9000,0,60,1184,4,0,1.0,1799,2007.0,2007,2007,0,1120.0,2.0,550.0,64.0,1.0,2.0,75.0,5,0,0,3,0.0,0,2.5,0,2007,6812100,81000000,64,4028049,4028049,4096.0,5625.0,9000
62,4,7,2,2,4,0,0,1420.0,2.0,0.0,0,2.0,0,1,0,1483,1,0,0,496,2,2.0,20062,0,20,1483,1,0,1.0,230,1977.0,1977,2001,0,328.0,2.0,690.0,1092.0,2.0,1.0,69.05520046484602,7,0,1,2,0.0,0,2.5,0,2010,2199289,402483844,49,3908529,4004001,1192464.0,4768.620711240071,0
63,6,5,3,1,6,780,0,936.0,0.0,0.0,236,0.0,0,-1,1,1740,1,0,0,0,1,1.0,7308,0,50,960,2,0,1.0,1295,1920.0,1920,1950,0,576.0,1.0,225.0,360.0,-1.0,2.0,81.0,5,0,-1,2,0.0,0,1.0,0,2008,3027600,53406864,25,3686400,3802500,129600.0,6561.0,0
64,7,5,2,0,6,0,0,1382.0,2.0,483.0,0,2.0,0,0,0,1382,1,0,0,280,2,1.0,8750,0,20,1382,3,0,1.0,638,1955.0,1955,1955,0,727.0,1.0,350.0,172.0,-1.0,1.4709800190294957,70.0,5,0,0,2,0.0,0,1.5,0,2009,1909924,76562500,25,3822025,3822025,29584.0,4900.0,0
65,12,5,2,0,6,0,1,1120.0,1.9566339700567887,0.0,0,1.9385647909137842,0,0,1,1120,1,0,30,0,1,0.0,8402,0,20,1120,3,0,1.0,2278,1978.7077955601446,2007,2007,0,914.0,2.0,0.0,206.0,-1.0,1.4709800190294957,70.0,5,0,0,3,0.0,0,1.0,0,2007,1254400,70593604,25,4028049,4028049,42436.0,4900.0,8402
66,6,7,2,1,5,531,0,531.0,2.0,0.0,0,2.0,0,0,0,1098,1,0,0,0,2,1.0,4000,0,70,567,2,0,1.0,2202,1930.0,1930,1995,0,285.0,2.0,216.0,246.0,-1.0,2.0,63.0,8,0,0,1,0.0,0,2.0,0,2007,1205604,16000000,49,3724900,3980025,60516.0,3969.0,0
67,4,7,2,0,7,732,1,976.0,2.0,0.0,0,2.0,0,1,0,1708,1,0,40,0,2,2.0,3363,0,160,976,3,0,1.0,2833,2004.0,2004,2004,0,976.0,2.0,380.0,0.0,-1.0,1.4709800190294957,32.0,5,0,0,3,117.0,0,2.0,0,2006,2917264,11309769,49,4016016,4016016,0.0,1024.0,3363
68,6,9,3,1,7,0,1,1802.0,2.0,0.0,0,2.0,0,2,0,1802,1,0,105,158,2,3.0,13615,0,20,1802,3,0,1.0,1707,2006.0,2006,2006,0,1802.0,3.0,843.0,0.0,2.0,2.0,94.0,5,0,0,3,510.0,0,2.5,0,2007,3247204,185368225,81,4024036,4024036,0.0,8836.0,13615
69,4,7,2,1,6,0,1,1362.0,2.0,0.0,0,2.0,0,1,0,1506,1,0,20,142,2,2.0,3013,0,120,1506,2,0,1.0,2428,2005.0,2005,2005,0,1346.0,2.0,440.0,16.0,2.0,2.0,43.0,5,0,0,3,145.0,0,2.0,0,2006,2268036,9078169,49,4020025,4020025,256.0,1849.0,3013
70,1,7,2,2,5,0,1,1508.0,2.0,0.0,0,2.0,0,1,0,1508,1,0,0,0,2,2.0,17485,0,20,1508,1,0,1.0,242,2009.0,2009,2010,0,162.0,2.0,572.0,1346.0,2.0,1.0,44.0,5,0,0,3,96.0,0,2.0,0,2010,2274064,305725225,49,4036081,4040100,1811716.0,1936.0,17485
71,9,7,2,0,7,0,1,1840.0,2.0,0.0,192,2.0,0,1,0,2032,1,0,46,0,2,3.0,23730,0,20,2032,3,0,1.0,1564,1996.0,1996,1997,0,1140.0,3.0,786.0,700.0,0.0,1.4709800190294957,69.05520046484602,5,0,0,3,668.0,0,4.0,0,2008,4129024,563112900,49,3984016,3988009,490000.0,4768.620711240071,23730
72,7,6,2,1,6,0,0,655.0,2.0,0.0,192,2.0,0,0,0,1194,1,0,0,0,2,2.0,8910,0,20,1194,3,0,1.0,2613,1954.0,1959,1959,0,0.0,1.0,539.0,655.0,0.0,0.0,79.0,6,0,0,3,0.0,0,1.5,0,2006,1425636,79388100,36,3837681,3837681,429025.0,6241.0,0
